"3",2000,0.4,207,0.005,1,5.38,5
"1",2000,4,200,0.005,1,7.0155,7
"2",2000,4,223,0.005,1,5.2005,4
"3",1000,0.4,224,0.005,1,5.651,6
"1",2000,4,173,0.005,1,6.43,7
"2",4000,1.5,366,0.005,1,5.59225,5
"3",1000,4,270,0.005,1,4.89,5
"1",2000,0.4,352,0.005,1,4.7935,5
"2",4000,4,344,0.005,1,5.36725,5
"3",1000,0.4,454,0.005,1,5.305,5
"1",2000,0.4,163,0.005,1,5.2175,5
"2",2000,0.4,319,0.005,1,7.335,7
"3",1000,0,258,0.005,1,4.801,5
"1",1000,4,379,0.005,1,6.564,6
"2",1000,0.4,76,0.005,1,7.416,8
"3",1000,4,257,0.005,1,4.806,5
"1",1000,4,353,0.005,1,3.882,3
"2",1000,1.5,442,0.005,1,4.128,4
"3",4000,1.5,478,0.005,1,4.30675,4
"1",4000,4,263,0.005,1,5.97725,6
"2",2000,0,86,0.005,1,4.1345,4
"3",1000,4,133,0.005,1,4.614,4
"1",2000,1.5,462,0.005,1,4.515,5
"2",1000,0,179,0.005,1,3.583,4
"3",1000,0.4,369,0.005,1,6.637,7
"1",4000,0,358,0.005,1,7.41825,8
"2",2000,0.4,364,0.005,1,4.333,4
"3",1000,4,290,0.005,1,6.186,6
"1",4000,1.5,361,0.005,1,3.85675,4
"2",2000,4,296,0.005,1,3.3295,3
"3",2000,0.4,78,0.005,1,5.9705,5
"1",2000,1.5,181,0.005,1,3.748,4
"2",2000,0,307,0.005,1,6.4095,7
"3",1000,0,452,0.005,1,4.476,5
"1",4000,4,457,0.005,1,4.24375,4
"2",2000,0,169,0.005,1,4.6735,4
"3",1000,0,264,0.005,1,8.684,9
"1",1000,1.5,34,0.005,1,5.478,6
"2",2000,1.5,186,0.005,1,5.588,5
"3",1000,4,22,0.005,1,3.57,4
"1",2000,4,169,0.005,1,4.4055,4
"2",1000,1.5,454,0.005,1,4.431,5
"3",1000,4,124,0.005,1,4.272,4
"1",2000,0,317,0.005,1,4.7305,4
"2",2000,0.4,451,0.005,1,4.0285,4
"3",4000,0,297,0.005,1,4.77025,5
"1",4000,0.4,99,0.005,1,5.12675,5
"2",2000,4,68,0.005,1,2.7755,2
"3",2000,4,96,0.005,1,3.765,4
"1",1000,1.5,490,0.005,1,4.321,4
"2",1000,0.4,490,0.005,1,5.876,6
"3",2000,1.5,63,0.005,1,4.975,5
"1",4000,0,260,0.005,1,5.92725,6
"2",1000,0,383,0.005,1,5.806,6
"3",4000,0.4,372,0.005,1,5.5675,5
"1",2000,0.4,326,0.005,1,5.37,6
"2",2000,0.4,288,0.005,1,6.4275,7
"3",2000,1.5,189,0.005,1,4.9,5
"1",1000,0,158,0.005,1,3.336,3
"2",1000,0,492,0.005,1,4.994,5
"3",2000,4,413,0.005,1,6.751,7
"1",2000,0,440,0.005,1,7.4745,8
"2",4000,1.5,307,0.005,1,5.524,5
"3",4000,0,101,0.005,1,5.669,5
"1",2000,0,183,0.005,1,7.603,7
"2",4000,0,314,0.005,1,4.44825,5
"3",4000,1.5,255,0.005,1,5.3185,6
"1",2000,4,457,0.005,1,7.0765,6
"2",1000,0.4,404,0.005,1,5.694,6
"3",1000,4,423,0.005,1,3.313,4
"1",2000,4,281,0.005,1,4.3685,4
"2",1000,1.5,100,0.005,1,3.849,4
"3",2000,1.5,417,0.005,1,3.69,3
"1",1000,0,192,0.005,1,3.771,3
"2",2000,0.4,112,0.005,1,5.2825,5
"3",2000,0.4,223,0.005,1,5.33,5
"1",4000,0,465,0.005,1,5.1535,5
"2",4000,0.4,288,0.005,1,5.0915,5
"3",2000,0.4,41,0.005,1,5.107,6
"1",2000,4,48,0.005,1,5.1145,5
"2",4000,4,228,0.005,1,4.04425,4
"3",1000,1.5,396,0.005,1,2.805,3
"1",2000,0.4,112,0.005,1,5.026,4
"2",4000,1.5,306,0.005,1,6.33525,6
"3",4000,1.5,111,0.005,1,3.90575,4
"1",2000,0.4,82,0.005,1,8.509,8
"2",1000,4,287,0.005,1,3.721,4
"3",1000,0,178,0.005,1,6.829,7
"1",1000,0,223,0.005,1,8.22,8
"2",2000,1.5,338,0.005,1,3.244,3
"3",2000,0,221,0.005,1,5.241,5
"1",1000,0,257,0.005,1,5.402,6
"2",2000,0.4,283,0.005,1,5.787,6
"3",1000,4,71,0.005,1,6.019,6
"1",1000,0.4,134,0.005,1,4.387,4
"2",1000,4,415,0.005,1,3.795,3
"3",1000,1.5,153,0.005,1,7.044,7
"1",1000,4,111,0.005,1,5.322,5
"2",2000,1.5,196,0.005,1,3.9215,3
"3",2000,1.5,179,0.005,1,4.4,4
"1",2000,1.5,315,0.005,1,5.144,5
"2",4000,0,107,0.005,1,5.1385,5
"3",2000,1.5,321,0.005,1,6.6565,6
"1",1000,0,20,0.005,1,2.754,2
"2",1000,4,333,0.005,1,5.587,6
"3",1000,4,401,0.005,1,4.214,4
"1",4000,0.4,60,0.005,1,6.53475,7
"2",4000,0.4,175,0.005,1,4.774,4
"3",2000,0.4,81,0.005,1,4.398,5
"1",2000,1.5,71,0.005,1,4.9155,5
"2",4000,1.5,94,0.005,1,4.68775,4
"3",4000,4,330,0.005,1,5.08075,5
"1",2000,4,374,0.005,1,5.7785,5
"2",4000,0.4,439,0.005,1,5.79225,6
"3",2000,0.4,235,0.005,1,3.606,3
"1",2000,0.4,69,0.005,1,4.4245,4
"2",2000,4,311,0.005,1,2.7505,2
"3",4000,0.4,337,0.005,1,5.35825,4
"1",2000,4,245,0.005,1,5.2855,4
"2",2000,4,3,0.005,1,4.83,5
"3",1000,0,414,0.005,1,6.182,6
"1",1000,1.5,332,0.005,1,5.043,5
"2",2000,4,308,0.005,1,7.2945,6
"3",1000,0,319,0.005,1,5.31,5
"1",1000,0.4,5,0.005,1,4.894,5
"2",2000,0,499,0.005,1,3.602,4
"3",2000,0.4,30,0.005,1,4.4235,4
"1",1000,1.5,132,0.005,1,5.824,6
"2",4000,0.4,353,0.005,1,5.501,6
"3",2000,1.5,290,0.005,1,4.3585,5
"1",2000,0.4,334,0.005,1,6.926,7
"2",4000,0,257,0.005,1,4.39125,4
"3",4000,0.4,316,0.005,1,4.38175,4
"1",2000,4,17,0.005,1,3.7195,4
"2",2000,0,451,0.005,1,6.708,6
"3",1000,0,57,0.005,1,3.914,4
"1",1000,0,432,0.005,1,6.556,7
"2",4000,4,104,0.005,1,4.4105,4
"3",1000,0,199,0.005,1,5.139,5
"1",2000,0,125,0.005,1,5.5595,5
"2",1000,4,117,0.005,1,4.36,4
"3",4000,4,299,0.005,1,4.709,4
"1",1000,1.5,251,0.005,1,4.489,5
"2",2000,4,441,0.005,1,7.0165,8
"3",2000,4,28,0.005,1,5.2025,5
"1",1000,0.4,452,0.005,1,3.486,4
"2",1000,4,454,0.005,1,3.279,3
"3",1000,0,440,0.005,1,3.061,3
"1",2000,1.5,446,0.005,1,4.805,4
"2",4000,0.4,161,0.005,1,5.0335,5
"3",1000,1.5,130,0.005,1,5.245,5
"1",1000,0.4,480,0.005,1,4.373,4
"2",1000,0.4,76,0.005,1,4.267,4
"3",4000,1.5,67,0.005,1,6.81875,6
"1",4000,0,4,0.005,1,4.836,5
"2",4000,1.5,403,0.005,1,4.9705,5
"3",1000,1.5,320,0.005,1,7.559,8
"1",4000,1.5,490,0.005,1,4.5725,5
"2",4000,0.4,352,0.005,1,4.52125,4
"3",2000,0,189,0.005,1,4.5935,4
"1",2000,0.4,84,0.005,1,5.0355,5
"2",1000,1.5,388,0.005,1,6.672,7
"3",2000,0.4,397,0.005,1,5.695,6
"1",2000,0,156,0.005,1,4.623,5
"2",2000,0.4,269,0.005,1,4.115,4
"3",2000,0.4,22,0.005,1,4.329,4
"1",4000,0,317,0.005,1,5.21625,5
"2",4000,1.5,214,0.005,1,3.65025,3
"3",1000,1.5,186,0.005,1,6.347,6
"1",2000,0.4,314,0.005,1,5.5405,6
"2",2000,0.4,34,0.005,1,3.5425,4
"3",2000,0.4,215,0.005,1,5.7485,6
"1",2000,0,380,0.005,1,6.736,7
"2",1000,0,369,0.005,1,4.07,4
"3",4000,0,365,0.005,1,3.96525,3
"1",2000,4,458,0.005,1,6.2165,6
"2",2000,1.5,72,0.005,1,3.877,4
"3",2000,4,62,0.005,1,3.811,4
"1",1000,0,266,0.005,1,6.614,7
"2",1000,4,459,0.005,1,8.104,8
"3",4000,0.4,241,0.005,1,4.975,5
"1",2000,0.4,250,0.005,1,7.9595,8
"2",2000,4,254,0.005,1,5.3295,6
"3",2000,0.4,348,0.005,1,3.9315,4
"1",1000,0,455,0.005,1,4.012,4
"2",4000,4,52,0.005,1,5.339,5
"3",2000,0.4,492,0.005,1,5.39,5
"1",4000,1.5,213,0.005,1,5.871,5
"2",1000,1.5,134,0.005,1,4.255,4
"3",4000,0,130,0.005,1,4.5725,4
"1",2000,0.4,460,0.005,1,6.9275,7
"2",4000,0.4,364,0.005,1,4.009,4
